Funds,FundManager,Category,RupeeVestRating,AUM,ExpenseRatio,FundType,InceptionDate,BenchmarkIndex, NAV , 52WeekHigh, 52WeekLow,Return1mo,Return3mo,Return6mo,Return1yr,Return2yrs,Return3yrs,Return5yrs,Return10yrs,TurnoverRatio, NoofStocks,AvgMarketCap,LargeCap,MidCap,SmallCap,HighestSector,AvgMaturity,ModDuration,YieldToMaturity,Alpha,Sharpe,Sortino,Beta,StandardDeviation,classification,ExitloadRemarks
IDBI Nifty Index Fund(G),Firdaus Marazban Ragina,EQ-INDX,Unrated,264.2,1.03,Open Ended,25-Jun-10,NIFTY 50 - TRI,26.53,28.18,16.26,-4.15,-1.08,20.66,59.96,10.51,11.17,12.54,9.06,13,50,350272,99.84,-,-,Financials,-,-,-,3,2.54,4.17,0.97,20.37,Equity : Index Funds,Nil
IDBI Nifty Junior Index Fund(G),Firdaus Marazban Ragina,EQ-INDX,Unrated,47.4,1.04,Open Ended,20-Sep-10,NIFTY NEXT 50 - TRI,25.39,26.65,16.98,-2.11,-0.37,24.88,46.6,8.75,4.02,11.65,10.8,43,50,60328,90.98,7.61,-,FMCG,-,-,-,10.99,2.52,3.98,0.67,17.6,Equity : Index Funds,Nil
IDBI Small Cap Fund(G),Uma Venkatraman,EQ-SML,4,112.5,2.5,Open Ended,21-Jun-17,Nifty Smallcap 250 - TRI,12.38,12.83,6.68,-1.28,10.73,37.4,83.95,13.5,4.24,-,-,56,44,9327,2.82,24.52,70.83,Capital Goods,-,-,-,37.37,3.87,6.6,0.55,16.81,Equity : Small Cap,1% on or before 12M
IDBI ST Bond(G),Bhupesh Kalyani,DT-SD,Unrated,24,0.72,Open Ended,23-Mar-11,Crisil Short Term Bond Fund Index,20,20.01,18.15,1.19,0.39,2.06,9.94,3.88,4.84,5.54,7.12,0,-,-,-,-,-,-,2.96,2.5,5.48,6.98,3.49,5.67,-,2,Debt : Short Duration,Nil
IDBI Ultra ST(G),Bhupesh Kalyani,DT-USD,3,334.9,0.59,Open Ended,3-Sep-10,CRISIL Ultra Short Term Debt Index,2169.7,2169.7,2062.45,0.24,0.76,2.03,4.58,5.37,5.96,6.21,7.54,0,-,-,-,-,-,-,0.48,0.44,4.17,1.76,2.56,3.69,-,0.7,Debt : Ultra Short Duration,Nil
IDFC All Seasons Bond Fund-Reg(G),Harshal Joshi,FOF-DOM,Unrated,155,0.49,Open Ended,13-Sep-04,NIFTY AAA Short Duration Bond Index,34.37,34.39,31.56,0.92,0.48,1.93,9.18,9.14,8.6,7.91,8.33,0,-,-,-,-,-,-,2.06,1.8,4.81,6.15,3.82,6.9,-,1.63,FoFs : Domestic,Nil
IDFC Arbitrage Fund-Reg(G),Yogik Pitti,HY-ARB,3,6755.6,0.97,Open Ended,21-Dec-06,Nifty 50 Arbitrage Index,25.53,25.54,24.65,0.5,1.05,1.78,3.53,4.66,5.1,5.47,6.91,1306,128,127826,57.31,9.21,0.21,Financials,-,-,-,0.63,0.47,0.77,-,1.15,Hybrid : Arbitrage,0.25% on or before 1M
IDFC Asset Alloc FoF-Aggr-Reg(G),Arpit Kapoor,FOF-DOM,Unrated,13,1.29,Open Ended,11-Feb-10,S&P BSE 200,26.65,28.04,18.87,-3.44,-1.75,11.78,38.72,7.46,5.07,8.33,8.9,0,-,-,-,-,-,-,5.79,4.13,7.45,37.2,2.86,4.54,-,13.07,FoFs : Domestic,Nil upto 10% of investment and 1% for remaining investment on or before 365D Nil after 365D
IDFC Asset Alloc FoF-Cons-Reg(G),Arpit Kapoor,FOF-DOM,Unrated,8.6,0.83,Open Ended,11-Feb-10,Crisil Short Term Bond Fund Index,24.21,24.57,21.33,-0.76,-0.43,3.93,13.42,7,6.26,7.53,8.48,0,-,-,-,-,-,-,4.04,2.9,7.06,11.84,3.12,5.15,-,3.82,FoFs : Domestic,Nil upto 10% of investment and 1% for remaining investment on or before 365D Nil after 365D
IDFC Asset Alloc FoF-Mod-Reg(G),Arpit Kapoor,FOF-DOM,Unrated,16.6,0.98,Open Ended,11-Feb-10,Crisil Short Term Bond Fund Index,25.88,26.81,20.94,-1.93,-1.15,7.37,23.28,7.18,5.78,7.86,8.85,0,-,-,-,-,-,-,5.42,3.88,7.42,22.13,2.74,4.24,-,8.12,FoFs : Domestic,Nil upto 10% of investment and 1% for remaining investment on or before 365D Nil after 365D
IDFC Banking & PSU Debt Fund-Reg(G),Anurag Mittal,DT-B&PSU,5,17763.9,0.63,Open Ended,7-Mar-13,NIFTY Banking and PSU Debt Index,19.29,19.29,17.64,0.92,0.57,2.1,9.59,9.6,9.3,8.13,-,0,-,-,-,-,-,-,1.94,1.72,4.76,6.53,3.84,6.92,-,1.72,Debt : Banking & PSU,NIL
IDFC Bond Fund - Income Plan-Reg(G),Suyash Choudhary,DT-LD,Unrated,687.4,1.95,Open Ended,14-Jul-00,Crisil Composite Bond Fund Index,53.01,54.09,49.54,1.53,-1.27,0.05,7.82,9.44,8.64,7.98,8.55,0,-,-,-,-,-,-,5.92,4.7,6.23,5.29,1.39,2.4,-,3.77,Debt : Long Duration,Nil for 10% of investment and 1% for remaining investment on or before 365D Nil after 365D
IDFC Bond Fund - Medium Term Plan-Reg(G),Suyash Choudhary,DT-MD,4,4713.1,1.46,Open Ended,8-Jul-03,NIFTY AAA Medium Duration Bond Index,36.66,37.01,34.03,1.23,-0.49,0.98,8.35,8.43,7.96,7.53,8.18,0,-,-,-,-,-,-,4.26,3.43,5.61,5.62,2.31,4.1,-,2.43,Debt : Medium Duration,Nil
IDFC Bond Fund - Short Term Plan-Reg(G),Suyash Choudhary,DT-SD,4,12981.4,0.78,Open Ended,14-Dec-00,NIFTY AAA Short Duration Bond Index,44.77,44.78,41.37,0.93,0.4,1.73,8.42,8.39,8.08,7.61,8.3,0,-,-,-,-,-,-,2.19,1.88,4.83,5.44,3.91,7.22,-,1.41,Debt : Short Duration,Nil
IDFC Cash Fund-Reg(G),Anurag Mittal,DT-LIQ,2,8142.3,0.2,Open Ended,2-Apr-04,Crisil Liquid Fund Index,2476.43,2476.43,2395.7,0.29,0.78,1.52,3.38,4.59,5.49,6.07,7.54,0,-,-,-,-,-,-,0.14,0.13,3.3,-0.45,-8.52,-7.13,-,0.05,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D
IDFC Core Equity Fund-Reg(G),Anoop Bhaskar,EQ-L&M,2,2228.9,2.11,Open Ended,9-Aug-05,Nifty LargeMidcap 250 Index - TRI,56.02,58.59,32.89,-3.4,2.19,26.54,65.54,10.93,7.17,13.31,10.23,39,58,72800,52.57,36.14,8.29,Financials,-,-,-,15.75,3.01,4.83,0.8,18.52,Equity : Large & Mid Cap,Nil upto 10% of investment and 1% for remaining investment on or before 365D Nil after 365D
IDFC Corp Bond Fund-Reg(G),Anurag Mittal,DT-CORP,3,22942.7,0.58,Open Ended,12-Jan-16,NIFTY AAA Short Duration Bond Index,15.08,15.09,13.65,1.11,0.3,2.25,10.7,8.7,8.14,7.98,-,0,-,-,-,-,-,-,2.87,2.49,5.32,7.59,3.55,6.43,-,2.15,Debt : Corporate Bond,Nil
IDFC Credit Risk Fund-Reg(G),Arvind Subramanian,DT-CR,4,812.9,1.7,Open Ended,3-Mar-17,NIFTY AA Short Duration Bond Index,13.07,13.07,12.09,1.14,0.49,2.36,7.2,7.34,6.77,-,-,0,-,-,-,-,-,-,3.49,2.73,7.26,4.08,2.02,2.9,-,2.06,Debt : Credit Risk,1% on or before 365D
IDFC Dynamic Bond Fund-Reg(G),Suyash Choudhary,DT-DYN,5,3952,1.58,Open Ended,1-Dec-08,Crisil Composite Bond Fund Index,27,27.51,25.03,1.5,-1.15,0.24,8.71,10.3,9.29,8.49,9.16,0,-,-,-,-,-,-,5.69,4.55,6.18,6.1,1.57,2.75,-,3.86,Debt : Dynamic Bond,Nil
IDFC Dynamic Equity Fund-Reg(G),Arpit Kapoor,HY-DYN,4,1757,2.02,Open Ended,10-Oct-14,S&P BSE 200 - TRI,16.27,16.47,12.45,-0.55,0.93,8.76,30.37,10.9,8.01,8.94,-,389,55,147114,54.97,7.94,4.12,Financials,1.87,1.56,4.26,27.92,2.95,4.93,-,9.56,Hybrid : Dynamic Asset Allocation,Nil for 10% of investment and for remaining investment 1% on or before 1Y
IDFC Emerging Businesses Fund-Reg(G),Anoop Bhaskar,EQ-SML,Unrated,951,2.42,Open Ended,25-Feb-20,S&P BSE Small-Cap - TRI,16.14,16.76,8.73,-2.89,4.06,29.53,78.74,-,-,-,-,49,65,7160,9.75,13.7,73.62,FMCG,-,-,-,34.37,3.67,6.09,0.56,16.96,Equity : Small Cap,1% on or before 1Y
IDFC Equity Opportunity-4-Reg(G),Sachin Relekar,EQ-MLC,Unrated,185.5,-,Closed Ended,29-Dec-17,S&P BSE 500,7.29,7.8,5.12,-4.2,13.73,15.17,-3.31,-2.76,-10.43,-,-,25,43,13697,25.59,28.24,32.66,Infrastructure,-,-,-,-17.24,-0.07,-0.09,0.77,28.41,Equity : Multi Cap,null
IDFC Equity Opportunity-5-Reg(G),Anoop Bhaskar,EQ-MLC,Unrated,701.5,-,Closed Ended,16-Mar-18,S&P BSE 500,12.48,12.66,7.44,-1.45,11.7,27.7,41.94,12.7,-,-,-,20,15,296953,29.23,-,-,Financials,-,-,-,2.37,1.34,1.87,0.83,27.1,Equity : Multi Cap,null
IDFC Equity Opportunity-6-Reg(G),Anoop Bhaskar,EQ-MLC,Unrated,214.1,-,Closed Ended,27-Jul-18,S&P BSE 500,14.24,14.91,8.99,-3.39,0.28,18.96,53.61,19.21,-,-,-,4,41,103267,74.04,9.73,13.85,Financials,-,-,-,12.6,2.89,4.59,0.69,16.26,Equity : Multi Cap,null
IDFC Equity Savings Fund-Reg(G),Sachin Relekar,HY-EQ,Unrated,53.6,2.34,Open Ended,9-Jun-08,Crisil Liquid Fund Index,22.94,23.37,18.85,-1.38,0.04,7.15,21.5,7.04,5.97,5.97,6.85,530,46,138372,56.58,9.26,0.5,Financials,1.18,1.04,4.03,19.25,2.69,4.42,-,7.18,Hybrid : Equity Oriented,Nil for 10% on investment For remaining investment 1% on or before 1Y
IDFC Flexi Cap Fund-Reg(G),Anoop Bhaskar,EQ-MLC,2,5289,1.96,Open Ended,28-Sep-05,S&P BSE 500 - TRI,110.43,114.22,71.63,-2.85,0.29,23.7,48.67,8.39,5.43,9.38,12.83,41,54,79911,61.09,26.45,11.02,Financials,-,-,-,7.59,2.66,4.22,0.73,16.61,Equity : Multi Cap,Nil upto 10% of investment and 1% for remaining investment on or before 365D Nil after 365D
IDFC Floating Rate Fund-Reg(G),Anurag Mittal,DT-FL,Unrated,584.9,0.75,Open Ended,18-Feb-21,NIFTY Low Duration Debt Index,10.05,10.05,10,0.37,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,4.55,-,-,-,-,-,Debt : Floater,Nil
IDFC Focused Equity Fund-Reg(G),Sumit Agrawal,EQ-MLC,2,1412.6,2.22,Open Ended,16-Mar-06,S&P BSE 500 - TRI,44.83,48.92,29.6,-5.72,-4.29,10.64,49.83,9.83,4.04,12.56,8.38,139,29,135362,66.5,11.16,14.91,Financials,-,-,-,5.42,2.48,4.14,0.8,18.33,Equity : Multi Cap,Nil upto 10% of investment and 1% for remaining investment on or before 365D Nil after 365D
IDFC FTP-140-1145D-Reg(G),Harshal Joshi,DT-FMP,Unrated,584.9,-,Closed Ended,8-Mar-18,Crisil Composite Bond Fund Index,12.51,12.51,11.77,0.32,0.84,1.8,6.42,7.49,7.36,-,-,0,-,-,-,-,-,-,2.47,-,-,3.5,5.8,13.61,-,0.6,Debt : FTP/FMP,null
IDFC FTP-142-1139D-Reg(G),Harshal Joshi,DT-FMP,Unrated,192.4,-,Closed Ended,14-Mar-18,Crisil Composite Bond Fund Index,12.47,12.47,11.73,0.31,0.83,1.79,6.46,7.51,7.35,-,-,0,-,-,-,-,-,-,2.48,-,-,3.53,5.48,13.93,-,0.65,Debt : FTP/FMP,null
IDFC FTP-144-1141D-Reg(G),Harshal Joshi,DT-FMP,Unrated,390.9,-,Closed Ended,21-Mar-18,Crisil Composite Bond Fund Index,12.46,12.46,11.7,0.32,0.84,1.82,6.58,7.56,7.4,-,-,0,-,-,-,-,-,-,2.5,-,-,3.68,5.86,14.3,-,0.63,Debt : FTP/FMP,null
IDFC FTP-149-1424D-Reg(G),Anurag Mittal,DT-FMP,Unrated,578.3,-,Closed Ended,4-Jun-18,Crisil Composite Bond Fund Index,12.44,12.44,11.42,0.73,1.04,2.52,9.1,7.46,-,-,-,0,-,-,-,-,-,-,3.45,-,-,5.97,5.42,11.94,-,1.11,Debt : FTP/FMP,null
IDFC FTP-152-1452D-Reg(G),Anurag Mittal,DT-FMP,Unrated,63.2,-,Closed Ended,22-Jun-18,Crisil Composite Bond Fund Index,12.57,12.57,11.48,0.78,1.05,2.57,9.67,7.99,-,-,-,0,-,-,-,-,-,-,3.59,-,-,6.55,5.6,11.7,-,1.18,Debt : FTP/FMP,null
IDFC FTP-154-1098D-Reg(G),Anurag Mittal,DT-FMP,Unrated,108.4,-,Closed Ended,27-Jun-18,Crisil Composite Bond Fund Index,12.5,12.5,11.7,0.36,0.91,1.91,6.92,7.78,-,-,-,0,-,-,-,-,-,-,2.62,-,-,4.01,6.64,17.64,-,0.6,Debt : FTP/FMP,null
IDFC FTP-156-1103D-Reg(G),Anurag Mittal,DT-FMP,Unrated,76,-,Closed Ended,12-Jul-18,Crisil Composite Bond Fund Index,12.48,12.48,11.66,0.38,0.9,1.93,7.17,7.95,-,-,-,0,-,-,-,-,-,-,2.63,-,-,4.26,6.68,17.9,-,0.64,Debt : FTP/FMP,null
IDFC FTP-159-1098D-Reg(G),Anurag Mittal,DT-FMP,Unrated,33.6,-,Closed Ended,20-Jul-18,Crisil Composite Bond Fund Index,12.29,12.29,11.46,0.37,0.93,2.04,7.4,7.2,-,-,-,0,-,-,-,-,-,-,2.67,-,-,4.51,7.07,18.53,-,0.64,Debt : FTP/FMP,null
IDFC FTP-160-1105D-Reg(G),Anurag Mittal,DT-FMP,Unrated,53.1,-,Closed Ended,9-Aug-18,Crisil Composite Bond Fund Index,12.46,12.46,11.59,0.4,0.88,1.95,7.58,8.12,-,-,-,0,-,-,-,-,-,-,2.71,-,-,4.64,6.46,17.31,-,0.72,Debt : FTP/FMP,null
IDFC FTP-161-1098D-Reg(G),Anurag Mittal,DT-FMP,Unrated,55.6,-,Closed Ended,29-Aug-18,Crisil Composite Bond Fund Index,12.45,12.45,11.54,0.43,0.93,2.22,8.03,8.32,-,-,-,0,-,-,-,-,-,-,2.72,-,-,5.04,6.59,15.73,-,0.77,Debt : FTP/FMP,null
IDFC FTP-163-1223D-Reg(G),Anurag Mittal,DT-FMP,Unrated,27.4,-,Closed Ended,14-Dec-18,Crisil Composite Bond Fund Index,12.45,12.45,11.38,0.63,0.91,2.25,9.49,9.41,-,-,-,-,-,-,-,-,-,-,-,-,-,6.38,5.89,13.09,-,1.09,Debt : FTP/FMP,null
IDFC FTP-166-1207D-Reg(G),Anurag Mittal,DT-FMP,Unrated,53.3,-,Closed Ended,28-Dec-18,Crisil Composite Bond Fund Index,12.39,12.39,11.3,0.68,0.96,2.35,9.82,9.52,-,-,-,-,-,-,-,-,-,-,-,-,-,6.7,6.06,13.2,-,1.11,Debt : FTP/FMP,null
IDFC FTP-167-1202D-Reg(G),Anurag Mittal,DT-FMP,Unrated,115.2,-,Closed Ended,10-Jan-19,Crisil Composite Bond Fund Index,12.35,12.35,11.27,0.7,0.96,2.36,9.76,9.48,-,-,-,-,-,-,-,-,-,-,-,-,-,6.6,5.86,12.95,-,1.14,Debt : FTP/FMP,null
IDFC FTP-176-1170D-Reg(G),Anurag Mittal,DT-FMP,Unrated,181.7,-,Closed Ended,21-Feb-19,Crisil Composite Bond Fund Index,12.19,12.19,11.14,0.72,0.95,2.35,9.65,9.38,-,-,-,-,-,-,-,-,-,-,-,-,-,6.53,5.65,12.06,-,1.16,Debt : FTP/FMP,null
IDFC FTP-177-1160D-Reg(G),Anurag Mittal,DT-FMP,Unrated,84.6,-,Closed Ended,13-Mar-19,Crisil Composite Bond Fund Index,12.11,12.11,11.05,0.74,0.95,2.34,9.8,9.42,-,-,-,-,-,-,-,-,-,-,-,-,-,6.65,5.67,11.86,-,1.18,Debt : FTP/FMP,null
IDFC FTP-178-1154D-Reg(G),Anurag Mittal,DT-FMP,Unrated,72.2,-,Closed Ended,26-Mar-19,Crisil Composite Bond Fund Index,12.07,12.07,10.99,0.77,0.98,2.4,9.97,9.58,-,-,-,-,-,-,-,-,-,-,-,-,-,6.83,5.66,11.78,-,1.21,Debt : FTP/FMP,null
IDFC FTP-179-3652D-Reg(G),Anurag Mittal,DT-FMP,Unrated,261.4,-,Closed Ended,13-Mar-19,Crisil Composite Bond Fund Index,12.67,12.69,11.43,2.62,0.4,2.54,11.98,11.88,-,-,-,-,-,-,-,-,-,-,-,-,-,9.58,2.44,4.39,-,3.93,Debt : FTP/FMP,null
IDFC G-Sec-Constant Maturity Plan-Reg(G),Harshal Joshi,DT-GL10Y,Unrated,307.4,0.62,Open Ended,9-Mar-02,Crisil 10 Yr Gilt Index,35.66,36.17,32.78,2.19,-0.77,0.77,9.72,12.1,11.81,10.21,9.54,0,-,-,-,-,-,-,8.71,6.32,6.54,6.73,1.68,2.98,-,3.95,Debt : Gilt (10 Yr Constant Duration),Nil
IDFC G-Sec-Invest-Reg(G),Suyash Choudhary,DT-GILT,5,1591,1.24,Open Ended,5-Dec-08,CRISIL Dynamic Gilt Index,27.58,28.08,25.42,1.58,-1.09,0.41,9.3,11.63,10.59,9.33,9.91,0,-,-,-,-,-,-,5.87,4.68,6.21,6.68,1.66,2.95,-,4,Debt : Gilt,Nil
IDFC Gilt 2027 Index Fund-Reg(G),Anurag Mittal,DT-GILT,Unrated,151.5,0.4,Open Ended,23-Mar-21,CRISIL Gilt 2027 Index,10.08,10.08,10,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,5.59,4.42,6.06,-,-,-,-,-,Debt : Gilt,Nil
IDFC Gilt 2028 Index Fund-Reg(G),Anurag Mittal,DT-GILT,Unrated,57.2,0.4,Open Ended,23-Mar-21,CRISIL Gilt 2028 Index,10.08,10.09,10,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,6.29,4.89,6.22,-,-,-,-,-,Debt : Gilt,Nil
IDFC Hybrid Equity Fund-Reg(G),Anoop Bhaskar,HY-EQ,2,503.6,2.46,Open Ended,30-Dec-16,S&P BSE 200 - TRI,14.15,14.57,9.32,-1.8,1.8,20.32,50.69,10.34,6.97,-,-,64,35,103972,58.78,13.27,8.3,Financials,2.47,2.09,4.93,42.94,3.02,4.88,-,14.28,Hybrid : Equity Oriented,Nil for 10% of investment and 1 % for remaining investment on or before 12M
IDFC Infrastructure Fund-Reg(G),Sachin Relekar,EQ-INFRA,1,586,2.47,Open Ended,8-Mar-11,S&P BSE India Infrastructure Index - TRI,18.16,19.11,9.68,-2.68,15.23,54.95,84.55,8.67,-0.27,11.36,5.71,3,32,21514,31.48,31.4,35.56,Infrastructure,-,-,-,36.41,3.53,6.04,0.71,20.36,Equity : Sectoral - Infrastructure,Nil upto 10% of investment and 1% for remaining investment on or before 365D Nil after 365D
IDFC Inv Fund-Sr 17-Reg(G),Anurag Mittal,DT-FMP,Unrated,-,-,Interval,-,NIFTY AAA Medium Duration Bond Index,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : FTP/FMP,null
IDFC Large Cap Fund-Reg(G),Sumit Agrawal,EQ-LC,3,707.6,2.44,Open Ended,9-Jun-06,S&P BSE 100 - TRI,40.89,43.81,26.62,-3.4,-2.41,15.93,52.35,11.69,9.9,12.58,9.27,108,39,327307,90.83,-,0.66,Financials,-,-,-,5.22,2.6,4.27,0.82,17.81,Equity : Large Cap,Nil
IDFC Low Duration Fund-Reg(G),Anurag Mittal,DT-LOWD,4,6881.1,0.52,Open Ended,17-Jan-06,NIFTY Low Duration Debt Index,30.28,30.28,28.52,0.54,0.82,1.86,6.27,6.79,7.04,7.26,8.36,0,-,-,-,-,-,-,0.87,0.8,4.03,3.4,5.25,10.76,-,0.65,Debt : Low Duration,Nil
IDFC Money Manager Fund-Reg(G),Anurag Mittal,DT-MM,1,3072.3,0.9,Open Ended,18-Feb-03,Nifty Money Market Index,31.93,31.93,30.56,0.34,0.77,1.41,4.49,5.18,5.63,6.07,7.29,0,-,-,-,-,-,-,0.52,0.5,3.71,1.66,3.51,8.14,-,0.47,Debt : Money Market,Nil
IDFC Nifty ETF,Yogik Pitti,EQ-ETF,Unrated,18.3,0.16,Open Ended,7-Oct-16,NIFTY 50 - TRI,151.41,159.48,91.99,-3.4,-0.17,21.72,61.51,11.9,12.56,-,-,8,50,350190,98.51,-,-,Financials,-,-,-,4.56,2.62,4.32,0.96,20.07,Equity : ETFs,null
IDFC Nifty Fund-Reg(G),Arpit Kapoor,EQ-INDX,Unrated,289.1,0.76,Open Ended,30-Apr-10,NIFTY 50 - TRI,30.43,32.12,18.45,-3.5,-0.36,21.51,61.62,11.87,12.45,14.06,10.54,40,51,350585,99,-,-,Financials,-,-,-,4.13,2.6,4.26,0.97,20.33,Equity : Index Funds,Nil
IDFC Overnight Fund-Reg(G),Brijesh Shah,DT-ON,Unrated,1419.9,0.19,Open Ended,18-Jan-19,Nifty 1D Rate Index,1096.13,1096.13,1065.12,0.26,0.73,1.43,2.92,3.92,-,-,-,0,-,-,-,-,-,-,0.01,0.01,3.37,-0.78,-74.44,-13.69,-,0.01,Debt : Overnight,Nil
IDFC Regular Savings Fund-Reg(G),Sumit Agrawal,HY-DT(CO),3,179.6,2.18,Open Ended,25-Feb-10,NIFTY AAA Short Duration Bond Index,24.53,24.89,21.48,-0.7,-0.85,3.66,14.05,7,6.25,7.3,8.5,0,27,429366,17.88,-,-,Financials,1.96,1.65,4.66,12.73,2.64,4.51,-,4.86,Hybrid : Debt Oriented (Conservative),Nil for 10% of investment and For remaining investment 1% on or before 365D
IDFC Sensex ETF,Yogik Pitti,EQ-ETF,Unrated,0.7,0.31,Open Ended,7-Oct-16,S&P BSE SENSEX - TRI,505.93,542.71,312.47,-4.39,-1.8,19.47,58.46,12.13,13.47,-,-,8,30,429094,98.66,-,-,Financials,-,-,-,1.23,2.46,4.07,0.98,20.53,Equity : ETFs,null
IDFC Sterling Value Fund-Reg(G),Anoop Bhaskar,EQ-VAL,2,3208.1,2.01,Open Ended,7-Mar-08,S&P BSE 400 MidSmallCap Index - TRI,65.08,67.6,31.32,-1.11,12.07,45.92,105.04,11.66,4.51,14.34,13.26,18,59,14716,14.52,42.85,39.43,Financials,-,-,-,41.98,4,6.65,0.75,19.94,Equity : Value / Contra,Nil upto 10% of investment and 1% for remaining investment on or before 365D Nil after 365D
IDFC Tax Advt(ELSS) Fund-Reg(G),Daylynn Pinto,EQ-ELSS,2,2988.3,2.04,Open Ended,26-Dec-08,S&P BSE 200 - TRI,75.05,77.79,39.84,-2.25,7.4,37,88.52,14.64,8.34,15.34,13.89,41,54,45386,50.07,19.28,27.09,Financials,-,-,-,28.5,3.61,5.85,0.83,19.39,Equity : Tax Saving (ELSS),Nil
IDFC Ultra Short Term Fund-Reg(G),Harshal Joshi,DT-USD,Unrated,5019.9,0.42,Open Ended,18-Jul-18,NIFTY Ultra Short Duration Debt Index,11.93,11.93,11.39,0.34,0.79,1.61,4.82,6,-,-,-,0,-,-,-,-,-,-,0.33,0.32,3.59,2.02,5.84,14.17,-,0.34,Debt : Ultra Short Duration,Nil
IDFC Yrly Interval -Sr II-Reg(G),Harshal Joshi,DT-FMP,Unrated,50.2,-,Interval,12-Feb-13,Crisil Short Term Bond Fund Index,18.35,18.35,17.44,0.22,0.73,1.66,5.54,6.59,6.9,7.11,-,0,-,-,-,-,-,-,0.39,-,-,2.8,1.66,3.38,-,1.68,Debt : FTP/FMP,null
IIFL Dynamic Bond Fund-Reg(G),Milan Mody,DT-DYN,2,731.4,0.85,Open Ended,24-Jun-13,Crisil Composite Bond Fund Index,16.92,16.92,15.8,1.2,0.7,2.75,6.63,6.9,6.62,6.8,-,0,-,-,-,-,-,-,3.47,2.82,6.12,3.81,2.61,4.25,-,1.46,Debt : Dynamic Bond,Nil
IIFL Focused Equity Fund-Reg(G),Mayur Patel,EQ-MLC,5,1623.1,2.15,Open Ended,30-Oct-14,S&P BSE 200 - TRI,23.4,24.86,14.04,-5.14,-1.65,24.21,61.71,20.26,16.78,17.56,-,63,30,100573,69.08,15.11,12.2,Financials,-,-,-,11.74,2.82,4.56,0.82,18.75,Equity : Multi Cap,1% on or before 12M
IIFL Liquid Fund-Reg(G),Milan Mody,DT-LIQ,2,121.5,0.24,Open Ended,13-Nov-13,Crisil Liquid Fund Index,1585.89,1585.89,1540.74,0.25,0.69,1.36,2.94,4.1,5,5.61,-,0,-,-,-,-,-,-,0.08,0.08,3.83,-0.33,-4.42,-5.76,-,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Indiabulls Arbitrage Fund-Reg(G),Karan Singh,HY-ARB,Unrated,15.2,1.12,Open Ended,19-Dec-14,Nifty 50 Arbitrage Index,14.26,14.27,13.94,0.37,0.83,1.03,2.25,4.12,4.48,5.25,-,1224,25,177435,65.81,3.83,-,Financials,-,-,-,-0.68,-0.55,-0.93,-,1.27,Hybrid : Arbitrage,0.25% on or before 1M Nil after 1M
Indiabulls Banking & PSU Debt Fund-Reg(G),Karan Singh,DT-B&PSU,Unrated,14.6,0.72,Open Ended,13-May-19,CRISIL Banking and PSU Debt Index,1119.5,1119.5,1073.58,0.23,0.58,1.96,4.44,-,-,-,-,0,-,-,-,-,-,-,-,-,3.23,1.74,1.35,2.73,-,1.28,Debt : Banking & PSU,0.25% on or before 3D Nil after 3D
Indiabulls Blue Chip Fund(G),Rajeev Desai,EQ-LC,3,113.2,2.43,Open Ended,10-Feb-12,NIFTY 50 - TRI,24.45,26.03,16.32,-4.34,-2.16,17.1,46.58,6.68,6.37,10.96,-,48,31,294704,94.31,3.89,-,Financials,-,-,-,-3.91,2.13,3.6,0.92,19.64,Equity : Large Cap,1% on or before 7D Nil after 7D
Indiabulls Dynamic Bond Fund-Reg(G),Karan Singh,DT-DYN,Unrated,28.1,0.74,Open Ended,4-Dec-18,Crisil Composite Bond Fund Index,1184.25,1184.46,1114.62,0.79,0.3,2.63,6.81,7.07,-,-,-,0,-,-,-,-,-,-,2.76,2.34,4.94,4.06,1.95,3.93,-,2.06,Debt : Dynamic Bond,Nil
Indiabulls Equity Hybrid Fund-Reg(G),Rajeev Desai,HY-EQ,Unrated,33.1,2.36,Open Ended,13-Dec-18,CRISIL Hybrid 35+65 - Aggressive Index,12.85,13.32,8.79,-3.54,1.11,18.11,43.37,9.86,-,-,-,42,34,204083,80.08,6.58,-,Financials,-,-,-,38.3,2.51,4.21,-,15.32,Hybrid : Equity Oriented,1% on or before 7D Nil after 7D
Indiabulls Income Fund-Reg(G),Karan Singh,DT-MD,Unrated,16.5,0.9,Open Ended,4-Mar-13,Crisil Composite Bond Fund Index,17.87,17.87,16.7,0.24,0.57,2.99,6.92,7.33,7.34,7.65,-,0,-,-,-,-,-,-,-,-,3.23,4.46,2.45,4.73,-,1.8,Debt : Medium Duration,Nil
